Measurement_Gamma_0,Value_Alpha_1,Measurement_Beta_2,Reading_Theta_3,X_Coord,Y_Coord,Aux_Reading,Target_Value,Target_Category
0.7806350050703716,,3Ar@jt7j**S']c>B_NnbMGYP!,,,,,-2.9876611811831024,2
9.350014516969022,,-4.703355632591949,,,,,-14.35997635158273,0
6.269665852542947,,"wq0Puq""(~@1KEKBdc8S*=",,Ct9*zYn1N5jr+no`D'=,,,-12.397055525654956,0
11.474605506223732,,2.4399419255525014,,,,,-4.26466599588033,2
7.901331362108691,,-0.45869706833604185,,,,,-24.212788794367594,0
5.615047292406833,,-2.7625241649704786,,,,,-15.73544540030002,0
9.62621028979599,,-3.3126318064567832,,,,,-10.866630729893155,1
3.554043440508166,,-3.238110919280688,,,,,-4.723570772118805,2
6.692661809620568,,-0.9028446175961202,,,,,-5.527255311838635,1
3.826962176491971,,-1.6185522179970215,,,,,-8.667291642275234,1
6.094147859083162,,1.3895250850202685,,,,,-12.862949528040447,0
9.795684825918725,,-2.2080319059888485,,,,,-16.54288179692762,0
8.458874619009517,,-1.06596719754955,,"N3ZuV~t0a^""fWuJtltk{^|}",,,-14.290707397281697,0
5.158602019659528,,-1.7970336683364927,,,,,-9.750660761126229,1
1.2941543313320771,,-0.37103629492301904,,,,,-9.20474792790233,1
6.2822124304577445,,1.8963518960198307,,,,,-12.719377653956055,0
6.2024136309187465,,-2.6785868868221154,,,,,-11.343609814758183,0
0.5313012413762523,,0.25020261078254513,,,,,-3.9450924915413284,2
5.176488305360911,,-1.552678937402476,,,,,-6.6277469550048105,1
7.9367791192176504,,-2.7102293257414294,,,,,-10.203688931529916,1
5.419368518028246,,1.5435838177944865,,,,,-11.06506713129622,0
4.004813397323497,,2.0502100861926733,,,,,-3.8216713581954758,2
3.765408916240721,,1.9041775528577236,,,,,-6.82334807999995,1
9.162445670273668,,-2.466469523850186,,,,,-16.352164566318073,0
2.7547014417191424,,-1.8371398528090337,,,,,5.312120028905688,2
6.946295664479654,,-1.0569931314471308,,<g{SBR3N+T1#/re~jZq}xDTPW,,,-13.860771071016586,0
3.639888902380599,,-2.3153195531908373,,s^beBqS2/TuH%DY!,,,1.8681693613175032,2
5.439347681457595,,-2.052383952181773,,,,,-0.7836673897617156,2
